S.No,video_url,thumbnail_url,title,no_of_views,published_at
1,https://www.youtube.com/watch?v=PI1obes98Zc,https://i.ytimg.com/vi/PI1obes98Zc/default.jpg,How to score 95%+ in class 10th? Complete year Powerful Strategy!!,11202,2023-03-10T13:36:50Z
2,https://www.youtube.com/watch?v=u-r2vP37vhg,https://i.ytimg.com/vi/u-r2vP37vhg/default.jpg,इसके बारे में Pata था? 🔥😲 #Shorts #PhysicsWallah,10051,2023-03-10T10:30:17Z
3,https://www.youtube.com/watch?v=16fUsD0M1-I,https://i.ytimg.com/vi/16fUsD0M1-I/default.jpg,Last 4 Days Left For SST Exam || How To Manage to Score 80/80 in Boards || Class-10th,30979,2023-03-10T10:01:57Z
4,https://www.youtube.com/watch?v=AkreHn6BQ9Y,https://i.ytimg.com/vi/AkreHn6BQ9Y/default_live.jpg,Class 10 Political Science in one video | CBSE Boards 2023 #PoliticalScience,0,2023-03-10T05:17:59Z
5,https://www.youtube.com/watch?v=FhYV94bxpqs,https://i.ytimg.com/vi/FhYV94bxpqs/default.jpg,Learn Complete Economics with 100 Questions | SST Class 10,90613,2023-03-09T16:08:54Z
6,https://www.youtube.com/watch?v=SiXML_r4DT8,https://i.ytimg.com/vi/SiXML_r4DT8/default.jpg,तैयार हो Neev मजबूत करने के लिए?💯🔥 #TyoharTaiyariKa #Shorts #PhysicsWallah,12438,2023-03-09T11:00:18Z
7,https://www.youtube.com/watch?v=AO-m38ssi6A,https://i.ytimg.com/vi/AO-m38ssi6A/default_live.jpg,Learn Complete Political Science with 120 Questions | SST Class 10,18869,2023-03-09T09:23:48Z
8,https://www.youtube.com/watch?v=-qyylNSWZeY,https://i.ytimg.com/vi/-qyylNSWZeY/default.jpg,MAHA MENTI SANGRAM - SST War || Class - 10th Boards,75614,2023-03-08T14:25:07Z
9,https://www.youtube.com/watch?v=NMiY1XDuLpM,https://i.ytimg.com/vi/NMiY1XDuLpM/default.jpg,Udaan भरने के लिए तैयार हो?🤩🔥 #shorts #physicswallah,26425,2023-03-08T06:46:39Z
10,https://www.youtube.com/watch?v=xLTdhy5Ii7U,https://i.ytimg.com/vi/xLTdhy5Ii7U/default.jpg,Learn Complete Geography with 200 Questions | SST Class 10,114885,2023-03-07T17:23:45Z
11,https://www.youtube.com/watch?v=mgHofSSYgbw,https://i.ytimg.com/vi/mgHofSSYgbw/default.jpg,Learn Complete History with 200 Questions | SST Class 10,221366,2023-03-06T17:40:45Z
12,https://www.youtube.com/watch?v=S0RySN5arvk,https://i.ytimg.com/vi/S0RySN5arvk/default.jpg,Benefits of Choosing Commerce After 10th | Commerce क्यों लेना चाहिए? | CBSE | ICSE | State Boards,23703,2023-03-06T08:30:04Z
13,https://www.youtube.com/watch?v=apGI75MLdok,https://i.ytimg.com/vi/apGI75MLdok/default.jpg,Ma'am Board Exam आ गए है कुछ भी Yaad नहीं ho रहा !!!!🤔🤔🤔 #shorts #Boards #physicswallahfoundation,47607,2023-03-05T04:30:03Z
